Wind,000905.SH,000905.SH,000905.SH,000905.SH,000905.SH
,中证500,中证500,中证500,中证500,中证500
日期,开盘价,最高价,最低价,收盘价,成交量
39030,1518.724,1538.568,1515.985,1537.862,1319495561
39031,1539.205,1539.818,1490.612,1498.871,1568338401
39034,1496.418,1496.674,1437.825,1445.679,1499364576
39035,1443.572,1461.716,1422.742,1461.716,1242288067
39036,1461.263,1484.446,1453.854,1484.446,1327486329
39037,1485.908,1487.059,1461.547,1462.675,1500969323
39038,1459.706,1476.745,1452.694,1476.745,1299521867
39041,1476.476,1476.887,1453.125,1466.653,1459635237
39042,1465.825,1477.679,1450.34,1477.679,1423756661
39043,1478.122,1509.191,1474.567,1500.813,1819559874
39044,1500.118,1509.315,1495.918,1509.315,1653887231
39045,1509.632,1533.851,1499.889,1532.019,1977450638
39048,1532.543,1567.049,1530.655,1567.049,1981229878
39049,1567.007,1582.517,1563.786,1577.179,1972305156
39050,1561.777,1596.998,1543.124,1596.998,2095120928
39051,1599.043,1626.844,1599.043,1623.816,2761466890
39052,1626.751,1637.209,1619.319,1629.207,2763790286
39055,1631.611,1663.197,1631.611,1663.197,2983777574
39056,1666.437,1680.334,1651.89,1675.458,3517681627
39057,1674.31,1678.227,1598.808,1649.139,3748281970
39058,1644.812,1662.961,1632.897,1632.908,3293433776
39059,1618.16,1622.348,1570.723,1571.183,2580865691
39062,1565.949,1621.263,1565.949,1621.263,2010175583
39063,1626.03,1631.763,1596.075,1626.586,2168395603
39064,1627.568,1637.002,1612.386,1634.84,1896855902
39065,1636.545,1662.266,1634.816,1662.266,2185916074
39066,1667.717,1689.671,1666.656,1689.671,2609950322
39069,1699.065,1718.292,1696.908,1717.225,3074703740
39070,1720.566,1724.533,1681.442,1724.533,3201571984
39071,1706.201,1756.002,1702.031,1756.002,3383825911
39072,1755.485,1769.07,1733.532,1737.381,3604082786
39073,1721.334,1741.611,1707.45,1728.396,2742047246
39076,1742.497,1755.696,1730.232,1744.817,2641350699
39077,1747.976,1751.209,1709.536,1726.777,2393145782
39078,1727.818,1738.525,1723.367,1738.525,2099748965
39079,1739.857,1741.05,1689.999,1704.724,2408139463
39080,1706.54,1733.458,1706.54,1726.146,2461551809
39086,1738.929,1748.091,1719.498,1723.686,3212986778
39087,1719.283,1770.483,1712.737,1770.475,2954547440
39090,1773.023,1851.964,1773.023,1851.964,3971932034
39091,1855.347,1893.723,1853.901,1891.871,4284590850
39092,1896.711,1940.832,1884.619,1940.832,4540633664
39093,1946.501,2005.061,1935.396,1952.236,5388346491
39094,1941.345,1972.865,1879.59,1881.753,4408009389
39097,1881.467,1986.539,1881.467,1986.539,3881263032
39098,1991.691,2055.016,1991.041,2055.016,4807441898
39099,2064.289,2093.89,1992.539,2035.651,5883288700
39100,2025.853,2085.403,2002.656,2085.403,5094946000
39101,2097.505,2159.646,2097.505,2159.638,5792516800
39104,2183.437,2259.029,2183.437,2258.986,6358920100
39105,2267.454,2268.687,2175.598,2261.785,6108017600
39106,2260.707,2295.258,2236.575,2283.696,5104122200
39107,2271.519,2271.519,2172.984,2174.239,4817566000
39108,2143.994,2196.278,2061.66,2186.27,4475940500
39111,2201.586,2261.242,2201.586,2260.596,4564666200
39112,2271.474,2280.725,2230.652,2255.938,5024768700
39113,2251.318,2258.698,2129.786,2142.891,4904692400
39114,2120.007,2176.195,2080.162,2165.405,4233884500
39115,2170.03,2190.958,2124.298,2127.104,3861061000
39118,2122.369,2166.094,2118.871,2152.25,3013411000
39119,2158.498,2198.626,2148.099,2198.239,3087618500
39120,2209.652,2237.944,2208.378,2237.944,3832705000
39121,2245.078,2282.193,2233.521,2278.445,3905389700
39122,2282.627,2300.806,2263.612,2287.381,3716182200
39125,2291.66,2341.072,2291.66,2341.072,3618835300
39126,2351.65,2384.158,2338.565,2384.158,3816378300
39127,2386.835,2445.765,2380.736,2435.959,4406558200
39128,2451.436,2512.55,2451.318,2512.402,5151645900
39129,2528.836,2581.56,2519.232,2541.409,5405675100
39139,2557.254,2642.114,2532.097,2642.114,4896308400
39140,2654.435,2673.53,2402.719,2405.574,7240425400
39141,2370.951,2520,2369.053,2513.533,5302502900
39142,2526.154,2526.159,2417.842,2459.511,5882813900
39143,2458.26,2515.023,2452.965,2503.677,4723810400
39146,2508.386,2548.254,2419.288,2511.916,4953597800
39147,2501.286,2524.632,2467.68,2516.003,3332166600
39148,2525.534,2580.597,2525.466,2580.597,3723070900
39149,2587.748,2634.879,2562.499,2634.879,4307706500
39150,2637.596,2662.328,2590.438,2638.047,4803170500
39153,2639.894,2696.871,2610.402,2696.497,5136709100
39154,2701.502,2740.462,2694.382,2727.455,5359616200
